index,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,price_per_kg
2380,Maruti Ritz VXi,12,340000,79139,Petrol,Dealer,Manual,First Owner,18.5,1197.0,85.8,5.0,18378
2381,Hyundai Grand i10 CRDi Sportz,11,350000,84784,Diesel,Dealer,Manual,First Owner,24.0,1120.0,70.0,5.0,14583
2382,Maruti Ritz LDi,13,265000,130376,Diesel,Dealer,Manual,Second Owner,23.2,1248.0,73.94,5.0,11422
2383,Tata Safari DICOR 2.2 EX 4x2,8,625000,72000,Diesel,Individual,Manual,First Owner,13.93,2179.0,138.03,7.0,44867
2384,Hyundai Verna CRDi SX,17,245000,127000,Diesel,Individual,Manual,Second Owner,16.8,1493.0,110.0,5.0,14583
2385,Maruti Swift VDI BSIV,11,395000,120000,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,5.0,15674
2386,Fiat Punto 1.3 Emotion,15,190000,120000,Diesel,Individual,Manual,Second Owner,19.41878335651954,,0.0,,9784
2387,Hyundai Xcent 1.1 CRDi S,11,490000,100000,Diesel,Individual,Manual,First Owner,24.4,1120.0,71.0,5.0,20081
2388,Toyota Etios GD,13,450000,148000,Diesel,Individual,Manual,Second Owner,19.41878335651954,,0.0,,23173
2389,Maruti Ertiga SHVS VDI,7,955000,40000,Diesel,Individual,Manual,First Owner,24.52,1248.0,88.5,7.0,38947
2390,Maruti Swift Dzire VDI,12,525000,110000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0,22435
2391,Tata Tigor 1.2 Revotron XZ Option,8,550000,30000,Petrol,Individual,Manual,First Owner,20.3,1199.0,84.0,5.0,27093
2392,Tata Indica Vista TDI LX,11,200000,120000,Diesel,Individual,Manual,Second Owner,19.1,1405.0,70.0,5.0,10471
2393,Ford Figo Aspire 1.2 Ti-VCT Trend,8,500000,15000,Petrol,Individual,Manual,First Owner,18.16,1196.0,86.8,5.0,27533
2394,Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,9,825000,33500,Diesel,Individual,Manual,First Owner,23.65,1248.0,88.5,5.0,34883
2395,Mahindra Quanto C6,13,250000,70000,Diesel,Individual,Manual,First Owner,17.21,1493.0,100.0,7.0,14526
2396,Toyota Etios Cross 1.2L G,10,600000,10000,Petrol,Individual,Manual,First Owner,18.16,1197.0,78.8,5.0,33039
2397,Mahindra Scorpio S7 120,7,1325000,22053,Diesel,Individual,Manual,First Owner,16.36,2179.0,120.0,7.0,80990
2398,Mahindra TUV 300 T8,9,770000,50000,Diesel,Individual,Manual,First Owner,18.49,1493.0,100.0,7.0,41644
2399,Chevrolet Optra Magnum 2.0 LS,14,415000,78432,Diesel,Individual,Manual,First Owner,16.52,1991.0,123.7,5.0,25121
2400,Hyundai Santa Fe 4X4,14,825000,125000,Diesel,Individual,Manual,Second Owner,14.66,2199.0,194.3,7.0,56275
2401,Ford Aspire Trend Diesel BSIV,7,530000,80000,Diesel,Individual,Manual,First Owner,26.1,1498.0,99.23,5.0,20306
2402,Toyota Innova 2.5 V Diesel 8-seater,19,425000,270000,Diesel,Individual,Manual,Third Owner,12.8,2494.0,102.0,8.0,33203
2403,Honda Brio V MT,13,310000,50000,Petrol,Individual,Manual,Second Owner,19.4,1198.0,86.8,5.0,15979
2404,Tata Tiago 1.2 Revotron XZ,8,390000,20000,Petrol,Individual,Manual,First Owner,23.84,1199.0,84.0,5.0,16359
2405,Hyundai Creta 1.6 VTVT E Plus,9,700000,30000,Petrol,Individual,Manual,First Owner,15.29,1591.0,121.3,5.0,45781
2406,Hyundai i10 Sportz 1.1L,15,200000,70000,Petrol,Individual,Manual,Second Owner,19.81,1086.0,68.05,5.0,10095
2407,Toyota Innova 2.5 G (Diesel) 8 Seater,12,1050000,7200,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,8.0,80831
2408,Honda City i DTEC SV,11,580000,97000,Diesel,Individual,Manual,First Owner,26.0,1498.0,98.6,5.0,22307
2409,Hyundai EON Era Plus,11,200000,60000,Petrol,Individual,Manual,Second Owner,21.1,814.0,55.2,5.0,9478
2410,Chevrolet Sail Hatchback Petrol LS ABS,12,245000,25000,Petrol,Individual,Manual,First Owner,18.2,1199.0,84.8,5.0,13461
2411,Hyundai i10 Sportz,15,210000,94000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5.0,10314
2412,Maruti Baleno LXI,20,50000,90000,Petrol,Individual,Manual,Second Owner,15.4,1590.0,94.0,5.0,3246
2413,Chevrolet Captiva 2.2 LTZ AWD,13,700000,50000,Diesel,Individual,Automatic,Second Owner,12.12,2231.0,184.0,7.0,57755
2414,Tata Bolt Quadrajet XE,6,660000,35000,Diesel,Individual,Manual,First Owner,22.95,1248.0,74.0,5.0,28758
2415,Honda City i VTEC V,10,630000,117500,Petrol,Individual,Manual,Second Owner,17.4,1497.0,117.3,5.0,36206
2416,Mahindra XUV500 W8 2WD,13,950000,78500,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,7.0,62913
2417,Hyundai i20 1.2 Asta Dual Tone,7,740000,8000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,39784
2418,Ford Figo Aspire 1.2 Ti-VCT Sports Edition,8,570000,25000,Petrol,Individual,Manual,First Owner,18.12,1196.0,86.8,5.0,31456
2419,Hyundai Verna 1.6 SX,13,450000,60000,Diesel,Individual,Manual,Third Owner,22.32,1582.0,126.32,5.0,20161
2420,Datsun RediGO 1.0 T Option,6,390000,10000,Petrol,Individual,Manual,First Owner,22.5,999.0,67.0,5.0,17333
2421,Ford Ikon 1.6 Nxt,16,180000,70000,Petrol,Individual,Manual,Second Owner,14.2,1597.0,92.0,5.0,12676
2422,Tata Nano LX,10,130000,60000,Petrol,Individual,Manual,First Owner,25.4,624.0,37.48,4.0,5118
2423,Honda City 2017-2020 GXi,19,270000,70000,Petrol,Individual,Manual,Second Owner,17.7,1497.0,78.0,5.0,15254
2424,Maruti 800 DX,28,60000,25000,Petrol,Individual,Manual,Third Owner,16.1,796.0,37.0,4.0,3726
2425,Hyundai Verna 1.6 Xi ABS,19,170000,90000,Petrol,Individual,Manual,Third Owner,13.9,1599.0,103.2,5.0,12230
2426,Hyundai Creta 1.6 CRDi SX,10,978999,90000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5.0,49771
2427,Tata Tiago 1.2 Revotron XM,7,490000,25000,Petrol,Individual,Manual,First Owner,23.84,1199.0,84.0,5.0,20553
2428,Ford Fiesta Diesel Style,13,280000,60000,Diesel,Individual,Manual,Second Owner,23.5,1498.0,88.7,5.0,11914
2429,Tata Tiago 1.2 Revotron XM,7,390000,25000,Petrol,Individual,Manual,First Owner,23.84,1199.0,84.0,5.0,16359
2430,Maruti Alto 800 VXI,12,170000,60000,Petrol,Individual,Manual,Fourth & Above Owner,22.74,796.0,47.3,5.0,7475
2431,Chevrolet Spark 1.0,17,45000,70000,Petrol,Individual,Manual,First Owner,18.0,995.0,62.0,5.0,2500
2432,Maruti Ertiga SHVS VDI,9,640000,80000,Diesel,Individual,Manual,Second Owner,24.52,1248.0,88.5,7.0,26101
2433,Mahindra Scorpio S2 9 Seater,10,650000,110000,Diesel,Individual,Manual,Second Owner,15.4,2523.0,75.0,9.0,42207
2434,Mahindra Scorpio LX,12,500000,115717,Diesel,Individual,Manual,First Owner,12.05,2179.0,120.0,9.0,41493
2435,Ford Fusion Plus 1.4 TDCi Diesel,17,90000,110000,Diesel,Individual,Manual,Second Owner,17.7,1399.0,68.0,5.0,5084
2436,Tata Aria Pure LX 4x2,11,480000,70000,Diesel,Individual,Manual,Second Owner,15.05,2179.0,147.9,7.0,31893
2437,Maruti Swift VXI,6,630000,4000,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,5.0,29702
2438,Hyundai i10 Sportz,14,250000,50000,Petrol,Individual,Manual,First Owner,20.36,1197.0,78.9,5.0,12278
2439,Hyundai Grand i10 Sportz,9,330000,70000,Petrol,Individual,Manual,Fourth & Above Owner,18.9,1197.0,82.0,5.0,17460
2440,Hyundai i10 Magna,16,180000,70000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5.0,8840
2441,Hyundai i20 Magna,15,210000,50000,Petrol,Individual,Manual,Second Owner,18.5,1197.0,80.0,5.0,11351
2442,Maruti Swift Dzire ZDI,9,550000,55000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0,20684
2443,Tata Nexon 1.2 Revotron XZA Plus,5,950000,5000,Petrol,Individual,Automatic,First Owner,17.0,1198.0,108.5,5.0,55882
2444,Mahindra Bolero 2011-2019 ZLX,12,430000,100000,Diesel,Individual,Manual,Second Owner,15.96,2523.0,62.1,7.0,26942
2445,Hyundai i10 Sportz,11,348000,23000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5.0,17092
2446,Maruti Alto 800 LX,11,196000,60000,Petrol,Individual,Manual,Second Owner,22.74,796.0,47.3,5.0,8619
2447,Maruti Wagon R LXI Minor,15,150000,70000,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5.0,7936
2448,Hyundai Santro Xing XS eRLX Euro III,20,90000,82000,Petrol,Individual,Manual,Fourth & Above Owner,19.41878335651954,,0.0,,4634
2449,Maruti Wagon R LXI Minor,16,150000,60000,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5.0,7936
2450,Tata Safari Storme VX Varicor 400,6,1250000,100000,Diesel,Individual,Manual,First Owner,14.1,2179.0,153.86,7.0,88652
2451,Maruti Ertiga VDI,10,600000,90000,Diesel,Individual,Manual,Third Owner,20.77,1248.0,88.76,7.0,28887
2452,Tata Nano Lx BSIV,15,65000,26432,Petrol,Dealer,Manual,First Owner,25.4,624.0,37.48,4.0,2559
2453,Maruti Omni E 8 Str STD,9,220000,46702,Petrol,Dealer,Manual,First Owner,16.8,796.0,34.2,8.0,13095
2454,Maruti Omni E 8 Str STD,9,220000,46706,Petrol,Dealer,Manual,First Owner,16.8,796.0,34.2,8.0,13095
2455,Tata Indica V2 eXeta GLS,19,110000,53523,Petrol,Dealer,Manual,First Owner,16.84,1193.0,64.4,5.0,6532
2456,Chevrolet Beat Diesel LT,13,175000,56365,Diesel,Dealer,Manual,First Owner,25.44,936.0,56.3,5.0,6878
2457,Chevrolet Spark 1.0 LT,14,160000,49563,Petrol,Dealer,Manual,First Owner,16.2,995.0,62.1,5.0,9876
2458,Maruti 800 Std BSIII,21,65000,56432,Petrol,Dealer,Manual,First Owner,16.1,796.0,37.0,4.0,4037
2459,Maruti 800 AC,23,60000,52365,Petrol,Dealer,Manual,Second Owner,16.1,796.0,37.0,4.0,3726
2460,Maruti Alto LXi BSIII,18,120000,53512,Petrol,Dealer,Manual,Second Owner,19.7,796.0,46.3,5.0,6091
2461,Hyundai Santro Xing XG,20,110000,53563,Petrol,Dealer,Manual,Second Owner,19.41878335651954,,0.0,,5664
2462,Mahindra Ssangyong Rexton RX7,12,1000000,40000,Diesel,Individual,Automatic,First Owner,11.18,2696.0,184.0,7.0,89445
2463,Maruti Wagon R LXI BS IV,15,220000,46533,Petrol,Dealer,Manual,First Owner,18.9,998.0,67.1,5.0,11640
2464,Maruti Omni E 8 Str STD,20,105000,59635,Petrol,Dealer,Manual,Second Owner,19.41878335651954,,0.0,,5407
2465,Maruti Omni 8 Seater BSIV,17,114999,58632,Petrol,Dealer,Manual,Second Owner,14.0,796.0,35.0,5.0,8214
2466,Maruti Omni LPG STD BSIV,17,110000,58632,LPG,Dealer,Manual,Second Owner,19.41878335651954,,0.0,,5664
2467,Mahindra XUV500 AT W6 2WD,9,850000,80000,Diesel,Individual,Automatic,Second Owner,16.0,2179.0,140.0,7.0,53125
2468,Maruti Ertiga SHVS VDI,9,750000,70000,Diesel,Individual,Manual,First Owner,24.52,1248.0,88.5,7.0,30587
2469,Renault KWID 1.0 RXT Optional,8,265000,90000,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5.0,11516
2470,Ford Classic 1.6 Duratec Titanium,11,450000,110000,Petrol,Individual,Manual,Second Owner,14.09,1596.0,99.6,5.0,31937
2471,Mahindra Quanto C6,12,225000,90000,Diesel,Individual,Manual,First Owner,17.21,1493.0,100.0,7.0,13073
2472,Mahindra Scorpio S10 7 Seater,10,1125000,70000,Diesel,Individual,Manual,First Owner,15.4,2179.0,120.0,7.0,73051
2473,Maruti Swift VXI with ABS,16,270000,80000,Petrol,Individual,Manual,First Owner,16.6,1197.0,85.0,5.0,16265
2474,Maruti Alto LX,18,130000,78000,Petrol,Individual,Manual,First Owner,19.7,796.0,46.3,5.0,6598
2475,Mahindra Bolero Power Plus SLE,8,660000,45000,Diesel,Individual,Manual,First Owner,16.5,1493.0,70.0,7.0,40000
2476,Maruti Alto K10 VXI,10,240000,50000,Petrol,Individual,Manual,Second Owner,23.95,998.0,67.05,5.0,10020
2477,Maruti Alto 800 LXI,8,275000,58000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5.0,11133
2478,Toyota Innova 2.5 VX 8 STR BSIV,13,750000,120000,Diesel,Individual,Manual,First Owner,12.8,2494.0,102.0,8.0,58593
2479,Chevrolet Aveo U-VA 1.2,18,65000,30000,Petrol,Individual,Manual,Second Owner,14.7,1150.0,76.0,5.0,4421
2480,Tata Safari Storme EX,8,850000,162000,Diesel,Individual,Manual,First Owner,14.1,2179.0,147.94,7.0,60283
2481,Maruti Wagon R LXI CNG,9,300000,50000,CNG,Individual,Manual,Second Owner,26.6,998.0,58.16,5.0,11278
2482,Hyundai i20 1.2 Magna Executive,7,555000,25000,Petrol,Individual,Manual,Second Owner,18.6,1197.0,81.83,5.0,29838
2483,Mahindra Scorpio 1.99 S6 Plus,10,825000,60000,Diesel,Individual,Manual,First Owner,15.4,1997.0,120.0,7.0,53571
2484,Hyundai Santro Xing GLS LPG,15,150000,70000,LPG,Individual,Manual,Third Owner,13.45,1086.0,62.1,5.0,11152
2485,Maruti Swift Dzire VDi,16,185000,138000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,5.0,9585
2486,Hyundai i10 Magna,15,180000,70000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5.0,8840
2487,Maruti Alto LXi,15,160000,48000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0,8121
2488,Ford Endeavour 3.0L 4X2 AT,13,500000,110000,Diesel,Individual,Automatic,First Owner,11.4,2953.0,153.86,7.0,43859
2489,Maruti Swift VDI BSIV,11,375000,88000,Diesel,Individual,Manual,Second Owner,25.2,1248.0,74.0,5.0,14880
2490,Toyota Innova 2.5 GX (Diesel) 7 Seater,10,900000,68000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,7.0,69284
2491,Hyundai Grand i10 Sportz,8,459999,70000,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5.0,24338
2492,Renault Duster 85PS Diesel RxL,11,480000,80000,Diesel,Individual,Manual,First Owner,20.45,1461.0,83.8,5.0,23471
2493,Maruti Swift VDI,12,320000,100000,Diesel,Individual,Manual,Third Owner,22.9,1248.0,74.0,5.0,13973
2494,Maruti Swift VDI,12,370000,96000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5.0,16157
2495,Hyundai Santro Xing Base,20,80000,123219,Petrol,Individual,Manual,Third Owner,19.41878335651954,,0.0,,4119
2496,Maruti Zen LX,23,75000,30000,Petrol,Individual,Manual,Third Owner,17.3,993.0,60.0,5.0,4335
2497,Maruti Ritz LDi,9,400000,60000,Diesel,Individual,Manual,Third Owner,23.2,1248.0,73.94,5.0,17241
2498,Honda City 1.5 GXI CVT,20,250000,90000,Petrol,Individual,Automatic,Second Owner,19.41878335651954,,0.0,,12874
2499,Maruti Swift VDI BSIV,11,425000,65000,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,5.0,16865
2500,Maruti Celerio ZXI,11,325000,48000,Petrol,Individual,Manual,First Owner,23.1,998.0,67.04,5.0,14069
2501,Hyundai Grand i10 Magna,9,350000,65300,Petrol,Individual,Manual,Second Owner,18.9,1197.0,82.0,5.0,18518
2502,Hyundai i20 1.2 Asta Dual Tone,7,600000,40000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,32258
2503,Chevrolet Beat Diesel,13,120000,60000,Diesel,Individual,Manual,Second Owner,25.44,936.0,57.6,5.0,4716
2504,Maruti Alto K10 2010-2014 VXI,13,200000,70000,Petrol,Individual,Manual,Second Owner,20.92,998.0,67.1,5.0,9560
2505,Maruti Alto LXi BSIII,17,100000,70000,Petrol,Individual,Manual,Third Owner,19.7,796.0,46.3,5.0,5076
2506,Hyundai Grand i10 CRDi Asta,11,350000,70000,Diesel,Individual,Manual,Second Owner,24.0,1120.0,70.0,5.0,14583
2507,Maruti Alto LXi,19,85000,150000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0,4314
2508,Maruti Alto K10 VXI Optional,6,399000,10000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.05,5.0,16659
2509,Hyundai Verna 1.6 CRDI,11,580000,56000,Diesel,Individual,Manual,First Owner,22.32,1582.0,126.3,5.0,25985
2510,Datsun RediGO T Option,8,290000,30000,Petrol,Individual,Manual,First Owner,22.7,799.0,53.64,5.0,12775
2511,Hyundai Grand i10 Magna,11,380000,50000,Petrol,Individual,Manual,Second Owner,18.9,1197.0,82.0,5.0,20105
2512,Ford Figo Diesel EXI,15,200000,120000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.0,5.0,10000
2513,Maruti Wagon R LXI CNG,7,390000,40000,CNG,Individual,Manual,First Owner,26.6,998.0,58.16,5.0,14661
2514,Hyundai Grand i10 1.2 Kappa Asta,8,500000,27500,Petrol,Individual,Manual,First Owner,18.9,1197.0,81.86,5.0,26455
2515,Maruti Ertiga VDI,13,520000,73000,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.76,7.0,25036
2516,Maruti Swift Dzire VDI,8,650000,75000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0,24445
2517,Renault KWID Climber 1.0 MT,7,380000,5000,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5.0,16514
2518,Maruti Wagon R LXI LPG BSIV,15,275000,50000,LPG,Individual,Manual,First Owner,26.2,998.0,58.2,5.0,10496
2519,Maruti Swift Dzire VDI,10,520000,70000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0,19556
2520,Maruti Swift Dzire VDI,10,610000,60000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0,22940
2521,Maruti Wagon R LXI,21,85000,110000,Petrol,Individual,Manual,First Owner,18.9,998.0,67.1,5.0,4497
2522,Renault Duster 85PS Diesel RxL Optional,12,490000,95000,Diesel,Individual,Manual,First Owner,20.46,1461.0,83.8,5.0,23949
2523,Hyundai EON Era Plus,10,229999,34000,Petrol,Individual,Manual,Second Owner,21.1,814.0,55.2,5.0,10900
2524,Hyundai Grand i10 Sportz,10,411000,25000,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5.0,21746
2525,Maruti Eeco CNG 5 Seater AC BSIV,6,362000,120000,CNG,Individual,Manual,Second Owner,21.94,1196.0,61.7,5.0,16499
2526,Toyota Etios Cross 1.4L GD,11,550000,31000,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.06,5.0,23314
2527,Maruti Wagon R LXI CNG,7,459999,70000,CNG,Individual,Manual,First Owner,26.6,998.0,58.16,5.0,17293
2528,Maruti Ritz VXi (ABS) BS IV,14,190000,47000,Petrol,Individual,Manual,First Owner,18.5,1197.0,85.8,5.0,10270
2529,Hyundai Santro Magna AMT BSIV,6,499000,5000,Petrol,Individual,Automatic,First Owner,20.3,1086.0,68.0,5.0,24581
2530,Maruti Eeco 7 Seater Standard BSIV,7,358000,44000,Petrol,Individual,Manual,First Owner,15.37,1196.0,73.0,7.0,23292
2531,Toyota Etios Diesel TRD Sportivo,13,278000,120000,Diesel,Individual,Manual,Second Owner,23.59,1364.0,67.1,5.0,11784
2532,Fiat Grande Punto EVO 1.3 Active,11,320000,39395,Diesel,Individual,Manual,First Owner,21.2,1248.0,75.0,5.0,15094
2533,Renault Fluence 1.5,12,580000,67000,Diesel,Individual,Manual,Second Owner,20.4,1461.0,108.5,5.0,28431
2534,Honda City VX CVT,6,1300000,20000,Petrol,Individual,Automatic,First Owner,17.4,1497.0,117.6,5.0,74712
2535,Honda Amaze VX i-DTEC,7,825000,40000,Diesel,Individual,Manual,First Owner,25.8,1498.0,98.6,5.0,31976
2536,Toyota Corolla AE,21,170000,120000,Petrol,Individual,Manual,Second Owner,13.4,1794.0,125.0,5.0,12686
2537,Toyota Fortuner 4x4 MT,11,1700000,80000,Diesel,Individual,Manual,Second Owner,12.55,2982.0,168.5,7.0,135458
2538,Hyundai Santro Sportz BSIV,7,490000,7000,Petrol,Individual,Manual,First Owner,20.3,1086.0,68.0,5.0,24137
2539,Mahindra XUV500 W4,7,1050000,15000,Diesel,Individual,Manual,First Owner,16.0,2179.0,140.0,7.0,65625
2540,Chevrolet Beat LT,9,210000,50000,Petrol,Individual,Manual,First Owner,18.6,1199.0,76.8,5.0,11290
2541,Mahindra Scorpio Intelli Hybrid S10,9,1250000,30000,Diesel,Individual,Manual,First Owner,15.4,2179.0,120.0,7.0,81168
2542,Maruti Swift VDI,13,320000,120000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5.0,13973
2543,Chevrolet Optra Magnum 2.0 LT,13,400000,64000,Diesel,Individual,Manual,First Owner,16.52,1991.0,123.7,5.0,24213
2544,Maruti Ritz VDi,12,320000,120000,Diesel,Individual,Manual,First Owner,23.2,1248.0,73.94,5.0,13793
2545,Toyota Corolla Altis Diesel D4DG,13,600000,85000,Diesel,Individual,Manual,First Owner,21.43,1364.0,87.2,5.0,27998
2546,Maruti Alto K10 2010-2014 VXI,13,275000,50000,Petrol,Individual,Manual,First Owner,20.92,998.0,67.1,5.0,13145
2547,Maruti Alto LXi,16,170000,59000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0,8629
2548,Chevrolet Beat Diesel LT,13,155000,98000,Diesel,Individual,Manual,First Owner,25.44,936.0,57.6,5.0,6092
2549,Tata Indica Vista Quadrajet LS,13,240000,70000,Diesel,Individual,Manual,First Owner,19.41878335651954,,0.0,,12359
2551,Maruti Swift VDI BSIV,14,320000,120000,Diesel,Individual,Manual,Second Owner,19.41878335651954,,0.0,,16478
2552,Renault Duster 85PS Diesel RxL Plus,10,620000,140000,Diesel,Individual,Manual,Second Owner,20.45,1461.0,83.8,5.0,30317
2553,Hyundai Grand i10 1.2 Kappa Sportz Option,8,530000,50000,Petrol,Individual,Manual,First Owner,18.9,1197.0,81.86,5.0,28042
2554,Toyota Etios Liva VD,10,550000,40000,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.04,5.0,23314
2555,Honda City i DTEC SV,11,600000,90000,Diesel,Individual,Manual,First Owner,26.0,1498.0,98.6,5.0,23076
2556,Mahindra XUV500 W4,11,649000,117000,Diesel,Individual,Manual,Third Owner,15.1,2179.0,140.0,7.0,42980
2557,Honda City i DTEC SV,11,625000,90000,Diesel,Individual,Manual,First Owner,26.0,1498.0,98.6,5.0,24038
2558,Chevrolet Spark 1.0 PS,15,125000,70000,Petrol,Individual,Manual,First Owner,16.0,995.0,63.0,5.0,7812
2559,Chevrolet Tavera Neo 3 LS 9 Str BSIII,16,305000,230000,Diesel,Individual,Manual,Second Owner,13.58,2499.0,72.4,9.0,22459
2560,Maruti SX4 ZXI MT BSIV Leather,15,285000,155000,Petrol,Individual,Manual,Second Owner,15.5,1586.0,103.3,5.0,18387
2561,Tata Xenon XT EX 4X4,10,600000,60000,Diesel,Individual,Manual,Second Owner,13.49,2179.0,138.03,5.0,44477
2562,Mahindra KUV 100 mFALCON G80 K8,9,426000,110000,Petrol,Individual,Manual,First Owner,18.15,1198.0,82.0,6.0,23471
2563,Tata Indica Vista Terra 1.4 TDI,15,180000,120000,Diesel,Individual,Manual,First Owner,17.0,1405.0,71.0,5.0,10588
2564,Hyundai Verna 1.6 VGT CRDi,14,400000,100000,Diesel,Individual,Manual,Second Owner,22.32,1582.0,126.32,5.0,17921
2565,Chevrolet Beat LS,15,120000,40000,Petrol,Individual,Manual,Second Owner,18.6,1199.0,79.4,5.0,6451
2566,Tata Manza Aura (ABS) Quadrajet BS IV,13,300000,110000,Diesel,Individual,Manual,Second Owner,21.12,1248.0,88.8,5.0,14204
2567,Maruti Alto K10 2010-2014 VXI,14,190000,92500,Petrol,Individual,Manual,Second Owner,20.92,998.0,67.1,5.0,9082
2568,Maruti Alto 800 LXI,8,310000,20000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5.0,12550
2569,Renault KWID RXL,6,380000,15000,Petrol,Individual,Manual,First Owner,25.17,799.0,53.3,5.0,15097
2570,Mahindra Bolero Power Plus ZLX,6,740000,14000,Diesel,Individual,Manual,First Owner,16.5,1493.0,70.0,7.0,44848
2571,Datsun RediGO T Option,9,260000,35000,Petrol,Individual,Manual,First Owner,22.7,799.0,53.64,5.0,11453
2572,Maruti Alto K10 VXI,8,320000,32000,Petrol,Individual,Manual,Second Owner,23.95,998.0,67.05,5.0,13361
2573,Maruti Wagon R LXI CNG,12,211000,90000,CNG,Individual,Manual,First Owner,26.6,998.0,58.16,5.0,7932
2574,Maruti Swift Dzire VXI 1.2 BS IV,7,650000,35000,Petrol,Individual,Manual,First Owner,22.0,1197.0,81.8,5.0,29545
2575,Maruti Swift Dzire VDI,8,651000,32500,Diesel,Individual,Manual,Second Owner,28.4,1248.0,74.02,5.0,22922
2576,Maruti Alto K10 VXI AGS,6,380000,14000,Petrol,Individual,Automatic,First Owner,23.95,998.0,67.05,5.0,15866
2577,Chevrolet Beat Diesel LT,11,160000,70000,Diesel,Individual,Manual,Third Owner,25.44,936.0,56.3,5.0,6289
2578,Hyundai Verna VTVT 1.6 AT SX Option,6,1270000,20000,Petrol,Individual,Automatic,First Owner,17.0,1591.0,121.3,5.0,74705
2579,Maruti Wagon R Duo Lxi,14,300000,300000,LPG,Individual,Manual,First Owner,26.2,998.0,58.2,5.0,11450
2580,Maruti Swift VDI Optional,10,405000,100000,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,5.0,16071
2581,Mahindra XUV500 W8 2WD,10,850000,64800,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,7.0,56291
2582,Mahindra Bolero Power Plus ZLX,8,680000,90000,Diesel,Individual,Manual,First Owner,16.5,1493.0,70.0,7.0,41212
2583,Hyundai Xcent 1.2 Kappa SX Option,11,426999,80000,Petrol,Individual,Manual,First Owner,19.1,1197.0,82.0,5.0,22355
2584,Hyundai Verna 1.4 CRDi,10,525000,248000,Diesel,Individual,Manual,First Owner,24.8,1396.0,88.7,5.0,21169
2585,Toyota Innova 2.5 VX (Diesel) 7 Seater,11,1019999,60000,Diesel,Individual,Manual,Second Owner,12.99,2494.0,100.6,7.0,78521
2586,Toyota Innova 2.5 G2,20,245000,120000,Diesel,Individual,Manual,First Owner,12.8,2494.0,102.0,8.0,19140
2587,Hyundai Elantra CRDi SX,10,869999,120000,Diesel,Individual,Manual,First Owner,22.7,1582.0,126.2,5.0,38325
2588,Maruti Wagon R Duo Lxi,15,160000,66444,LPG,Individual,Manual,First Owner,26.2,998.0,58.2,5.0,6106
2589,Maruti Vitara Brezza VDi Option,9,700000,86000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,28806
2590,Nissan Sunny Diesel XV,13,300000,90000,Diesel,Individual,Manual,First Owner,21.64,1461.0,84.8,5.0,13863
2591,Honda Civic 1.8 S AT,18,175000,218463,Petrol,Individual,Automatic,First Owner,12.9,1799.0,130.0,5.0,13565
